id,twitter_username,eth_address,telegram_id,balance,is_holder,holder_balance,created_at,twitter_verified,verification_code
1,dustinverse,0x815fb8214813f1588a841245a0876ca0fd8fcc82,1226341754,0.0,0,0.0,2025-06-27 00:33:21,0,
2,deployonklik,0xb3Bc6906F91181122F6499A32A0D04390ec87273,2052331269,0.0305,1,5600218.183839347,2025-06-27 00:45:16,0,HXTMAG0W
3,fvsvy,0xA41DCEe235F7F8Ab2C7d8a3e36fdC63704c142ae,6972305485,0.0,0,0.0,2025-06-27 01:09:14,0,
4,saiyajin9001,0x871f551c0725dcBA284F572E1793af9061A91e0D,1636631034,0.0,0,0.0,2025-06-27 01:12:16,0,
5,ohzarke,0x331cC2E56C657126f7A986419040838Cf446Eb93,7249685640,0.029392109512456452,0,0.0,2025-06-27 01:22:09,0,
6,yourusername,,1890135160,0.0,0,0.0,2025-06-27 01:24:21,0,
7,evm_ipeace,,1406354801,0.0,0,0.0,2025-06-27 03:26:24,0,
8,pesoboyyy,0x82b4c317c90215b15763279fd27e3d9516b04dd2,5860022919,0.0,0,0.0,2025-06-27 04:08:51,0,
9,usecodesynx,0x769618656B434B746C98b342a98ecD15803cf204,6524687071,0.0,0,0.0,2025-06-27 05:43:54,0,
10,adoniverse,,1530592680,0.0,0,0.0,2025-06-27 07:06:27,0,
11,skilt382,0xbeb3542bd8e4e8b365e2f1a1eb88532ed59bfa68,6046784929,0.0,0,0.0,2025-06-27 13:33:38,1,
12,ethpepe420,0x639e1d5079838f5f4088ee559abf2259d1ee7354,7080618336,0.0,0,0.0,2025-06-27 14:09:34,0,
14,usiclabs_,0xC3EfaeB627210428e985B391679eA8e4d4532431,6668381482,0.0,0,0.0,2025-06-28 19:19:53,1,
15,https://x.com/bankrbot?s=09,,7179275896,0.0,0,0.0,2025-06-28 19:21:49,0,
16,aandreee20,0x6f407ea107a7745d43505a1ceaf4a41a9609e5fc,1099313053,0.0,0,0.0,2025-06-28 19:24:36,1,
17,defidash_agent,0xf31bf927891ff7e48318592bb6262d6c4eb24db9,6967324289,0.0,0,0.0,2025-06-28 19:48:16,0,BND2PA4K
18,alvaapp,0x9CCEE7bB96485F20dc094c238F39b3011E0d58EE,7407482768,0.0,0,0.0,2025-06-28 19:49:00,0,RC3PGSO8
19,gork,0x5630D2478BAA06CeFC65a60D5c6Eed0E09a19185,6488058194,0.0,0,0.0,2025-06-28 19:49:11,0,YF9591CW
20,grok,0x6450266556374cec25cec59Bb4A2a5d505A37F27,5822937887,0.0,0,0.0,2025-06-28 19:49:46,1,
21,bankrbot,0xc986De6Ba2a7D49A536982d1ffd63DC0D2fFFB30,7327412987,0.0,0,0.0,2025-06-28 19:50:40,1,
22,hanapersona_,0xDb3f249e6a16f13dda8046D1d83f609421E1b89a,7231257423,0.0,0,0.0,2025-06-28 19:51:45,0,1NM4ZGX6
23,agentwyck,0x9B9fEc3338d7D0367AC07b4Fbc1ea26Ad48FBC1f,5285282850,0.0,0,0.0,2025-06-28 19:54:17,0,N6NTA4HE
24,aixbt_agent,,1075666815,0.0,0,0.0,2025-06-28 19:54:29,0,
25,askperplexity,0x766094641d0489d97E181e0cc5417653E40505F9,7400149266,0.0,0,0.0,2025-06-28 19:54:57,0,CXXB9XZ1
26,vitalikbuterin,0x09386Dcb90Ea74F0Ceb390eCE9213F1BF1F2A10D,6587466363,0.0,0,0.0,2025-06-28 19:57:49,0,
27,aigov_agent,0x981cA4873a2f9B850150B6DAF81f5cE326061DbF,7086531933,0.0,0,0.0,2025-06-28 19:59:38,0,
28,melioeth,0x18a252a07f991c8BE24A8bde76C05a0f21A4f09F,424966201,0.0,0,0.0,2025-06-28 20:03:54,0,
29,0x_maeko,0xceD7c0bc36CDcd043B217E70C83434AbB8B759DA,7205770440,0.0,0,0.0,2025-06-28 20:05:47,0,UX96VGVI
30,agentnyla,0xe4f0fa1115dc7c1b37f7f5fd6ab2215ba5c0a425,7309274311,0.0,0,0.0,2025-06-28 20:07:32,0,
